 0.387558, 0.336090, 0.316589, 0.311844, 0.312393
 0.389740, 0.327835, 0.309204, 0.301132, 0.312973
 0.392075, 0.340744, 0.322678, 0.315063, 0.317032
 0.395309, 0.342743, 0.324631, 0.398682, 0.318085
 0.392319, 0.335876, 0.327713, 0.403488, 0.318619
 0.395096, 0.343307, 0.324982, 0.360382, 0.323395
 0.395599, 0.335495, 0.316330, 0.320343, 0.335999
 0.392517, 0.346603, 0.328796, 0.321335, 0.321091
 0.395111, 0.335358, 0.328415, 0.321762, 0.322800
 0.396515, 0.347458, 0.328400, 0.307556, 0.322739
 0.396454, 0.335007, 0.316879, 0.321930, 0.322678
 0.395508, 0.346313, 0.327820, 0.320999, 0.322495
 0.397186, 0.337311, 0.329605, 0.321930, 0.323410
 0.395401, 0.347794, 0.328842, 0.307602, 0.322540
 0.407425, 0.347076, 0.316238, 0.322266, 0.322586
 0.399551, 0.336136, 0.329483, 0.321686, 0.323853
 0.394379, 0.347046, 0.329056, 0.321487, 0.322678
 0.394867, 0.334885, 0.316284, 0.307907, 0.326523
 0.393143, 0.347656, 0.328186, 0.322418, 0.321442
 0.397278, 0.334778, 0.327530, 0.320343, 0.321747
 0.390030, 0.346436, 0.328323, 0.320023, 0.318680
 0.392227, 0.332306, 0.312057, 0.315445, 0.324936
 0.394669, 0.345963, 0.327423, 0.308548, 0.318573
 0.392487, 0.331772, 0.325363, 0.316727, 0.320511
 0.389542, 0.341644, 0.323624, 0.320801, 0.319534
 0.396393, 0.347000, 0.316376, 0.316299, 0.318909
 0.390579, 0.330643, 0.324631, 0.304825, 0.321167
 0.394348, 0.346512, 0.328064, 0.320953, 0.317215
 0.391037, 0.331802, 0.324707, 0.315750, 0.323059
 0.391815, 0.341522, 0.314423, 0.321884, 0.318939
 0.392426, 0.335388, 0.324814, 0.303848, 0.318039
 0.391953, 0.343414, 0.324890, 0.306259, 0.323166
 0.395782, 0.346497, 0.316437, 0.318176, 0.318130
 0.391449, 0.331497, 0.312271, 0.316544, 0.322937
 0.394821, 0.345047, 0.328552, 0.322495, 0.318619
 0.391937, 0.331528, 0.324020, 0.303360, 0.340134
 0.393463, 0.346588, 0.316101, 0.320908, 0.318420
 0.392181, 0.331940, 0.324677, 0.317139, 0.321716
 0.394089, 0.347275, 0.326996, 0.320602, 0.318222
 0.392303, 0.342270, 0.325119, 0.303833, 0.322647
 0.394211, 0.335251, 0.315628, 0.321320, 0.318329
 0.392380, 0.342239, 0.324539, 0.316544, 0.321838
 0.395020, 0.334961, 0.327560, 0.320511, 0.318466
 0.401321, 0.343094, 0.324524, 0.303619, 0.321899
 0.394669, 0.334869, 0.315323, 0.320786, 0.318283
 0.390625, 0.343399, 0.323395, 0.320007, 0.322388
 0.394745, 0.334930, 0.328278, 0.318420, 0.320663
 0.390106, 0.342468, 0.324997, 0.320694, 0.322144
 0.395874, 0.334808, 0.316833, 0.303131, 0.322144
 0.395370, 0.342422, 0.328171, 0.320419, 0.318817
 0.392044, 0.347260, 0.323837, 0.318420, 0.322647
 0.394363, 0.335632, 0.315353, 0.320328, 0.319717
 0.390778, 0.342194, 0.313477, 0.302551, 0.322189
 0.396545, 0.333923, 0.328857, 0.321457, 0.317520
 0.401001, 0.344543, 0.324112, 0.321167, 0.325165
 0.394745, 0.334534, 0.315125, 0.316940, 0.322891
 0.392395, 0.341400, 0.329224, 0.306488, 0.317627
 0.395859, 0.348190, 0.323975, 0.304977, 0.323257
 0.394440, 0.334396, 0.326797, 0.319931, 0.318161
